City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,saint-louis,16.3333,-15.0,22.8,35,41,4.63,SN,1683786375
223,lubango,-14.9172,13.4925,13.92,67,20,2.57,AO,1683786375
224,murmashi,68.8154,32.8115,7.23,100,75,2.0,RU,1683786375
225,st. john's,47.5649,-52.7093,1.1,90,0,6.17,CA,1683785557
226,talcahuano,-36.7167,-73.1167,8.82,100,95,3.09,CL,1683785830
227,prince rupert,54.3161,-130.3201,10.83,75,100,7.72,CA,1683785904
228,balqash,46.8481,74.995,27.33,19,0,5.0,KZ,1683786376
229,cabo san lucas,22.8909,-109.9124,23.12,56,15,6.02,MX,1683785825
230,villa gesell,-37.2639,-56.973,11.14,66,90,5.05,AR,1683785900
231,imbituba,-28.24,-48.6703,14.59,88,5,2.75,BR,1683786376
232,kabin buri,13.9511,101.7177,33.87,100,53,1.95,TH,1683786377
233,namibe,-15.1961,12.1522,23.55,69,3,1.93,AO,1683785896
234,dunedin,-45.8742,170.5036,7.11,81,74,4.47,NZ,1683785902
235,bandarbeyla,9.4942,50.8122,31.25,59,100,1.9,SO,1683785830
236,crane,31.3974,-102.3501,23.64,65,1,8.21,US,1683785843
237,zaragoza,41.6561,-0.8773,12.47,70,0,7.72,ES,1683786377
238,ambon,-3.6954,128.1814,29.97,95,40,4.63,ID,1683786377
239,ar ruways,24.1103,52.7306,34.79,25,1,3.66,AE,1683786377
240,ahmadpur east,29.1431,71.2598,40.51,7,11,4.53,PK,1683786378
241,badger,64.8,-147.5333,13.95,42,75,2.06,US,1683785827
242,gobernador galvez,-33.0302,-60.6405,13.52,34,0,2.24,AR,1683786378
243,balykshi,47.0667,51.8667,22.0,43,0,4.0,KZ,1683786378
244,usogorsk,63.4106,48.6872,9.0,53,56,2.18,RU,1683785872
245,xiamen,24.4798,118.0819,26.03,53,75,2.0,CN,1683786378
246,la passe,45.5549,-0.8967,12.77,84,52,4.51,FR,1683785888
247,pali,25.7667,73.3333,40.27,9,0,4.01,IN,1683786379
248,ancud,-41.8697,-73.8203,12.83,97,97,4.15,CL,1683785813
249,novaya igirma,57.1334,103.9112,10.01,29,49,2.56,RU,1683786379
250,uliastay,47.7417,96.8444,12.73,35,100,6.58,MN,1683786379
251,noosa heads,-26.3833,153.15,21.17,78,10,5.43,AU,1683786379
252,kuragino,53.8975,92.6725,14.23,30,87,3.72,RU,1683786380
253,afaahiti,-17.75,-149.2833,26.7,86,100,14.8,PF,1683785859
254,san antonio de pale,-1.4014,5.6325,27.01,82,100,5.32,GQ,1683785816
255,saint augustine beach,29.8505,-81.2654,23.9,100,73,3.6,US,1683786380
256,namtsy,62.7161,129.6658,4.33,43,89,6.07,RU,1683786380
257,brak,27.5496,14.2714,17.72,51,0,5.8,LY,1683786380
258,kinablangan,7.6947,126.5503,29.61,74,95,2.57,PH,1683786380
259,kattivakkam,13.2167,80.3167,34.05,80,100,2.03,IN,1683785877
260,antofagasta,-23.65,-70.4,14.6,79,17,0.79,CL,1683786381
261,lichinga,-13.3128,35.2406,17.05,82,40,6.69,MZ,1683786381
262,eyl,7.9803,49.8164,31.4,56,90,7.9,SO,1683786381
